//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,7.00,-2.00,1.00,1.00,0.00,0.00
1,3.00,-2.00,-1.00,1.00,0.00,0.00
2,1.00,6.00,-1.00,1.00,0.00,0.00
3,-7.00,3.00,-1.00,1.00,0.00,0.00
4,8.00,-8.00,1.00,0.00,0.00,0.00
5,-8.00,6.00,-1.00,0.00,0.00,0.00
6,4.00,0.00,1.00,1.00,0.00,0.00
7,6.00,-2.00,0.00,1.00,0.00,0.00
8,-2.00,-9.00,1.00,-1.00,0.00,0.00
9,-9.00,1.00,-1.00,1.00,0.00,0.00
10,-2.00,1.00,0.00,1.00,0.00,0.00
11,-6.00,-1.00,0.00,0.00,0.00,0.00
12,-7.00,-7.00,1.00,-1.00,0.00,0.00
13,1.00,-8.00,1.00,0.00,0.00,0.00
14,-6.00,-7.00,0.00,1.00,0.00,0.00
15,-7.00,0.00,1.00,1.00,0.00,0.00
16,-6.00,3.00,1.00,0.00,0.00,0.00
17,-6.00,-5.00,-1.00,-1.00,0.00,0.00
18,7.00,3.00,1.00,1.00,0.00,0.00
19,5.00,4.00,0.00,-1.00,0.00,0.00
20,7.00,-7.00,0.00,-1.00,0.00,0.00
21,7.00,-1.00,1.00,0.00,0.00,0.00
22,-6.00,-9.00,0.00,0.00,0.00,0.00
23,-6.00,9.00,-1.00,-1.00,0.00,0.00
24,-6.00,-4.00,0.00,1.00,0.00,0.00
25,2.00,6.00,0.00,0.00,0.00,0.00
26,-9.00,2.00,-1.00,0.00,0.00,0.00
27,-4.00,4.00,1.00,0.00,0.00,0.00
28,8.00,5.00,1.00,1.00,0.00,0.00
29,7.00,-10.00,0.00,1.00,0.00,0.00
30,-8.00,-8.00,0.00,1.00,0.00,0.00
31,3.00,1.00,-1.00,1.00,0.00,0.00
32,0.00,9.00,-1.00,-1.00,0.00,0.00
33,5.00,-7.00,0.00,1.00,0.00,0.00
34,-3.00,-9.00,-1.00,-1.00,0.00,0.00
35,6.00,6.00,0.00,0.00,0.00,0.00
36,2.00,7.00,-1.00,1.00,0.00,0.00
37,-1.00,4.00,1.00,0.00,0.00,0.00
38,-1.00,-7.00,0.00,0.00,0.00,0.00
39,5.00,-3.00,1.00,-1.00,0.00,0.00
40,9.00,0.00,-1.00,-1.00,0.00,0.00
41,-5.00,8.00,1.00,-1.00,0.00,0.00
42,9.00,3.00,0.00,0.00,0.00,0.00
43,-1.00,2.00,-1.00,-1.00,0.00,0.00
44,-5.00,7.00,1.00,1.00,0.00,0.00
45,-10.00,9.00,0.00,-1.00,0.00,0.00
46,-7.00,-3.00,0.00,0.00,0.00,0.00
47,-5.00,-10.00,0.00,-1.00,0.00,0.00
48,3.00,-7.00,0.00,-1.00,0.00,0.00
49,5.00,0.00,0.00,0.00,0.00,0.00
50,-9.00,-8.00,0.00,-1.00,0.00,0.00
51,9.00,-2.00,-1.00,0.00,0.00,0.00
52,-2.00,-4.00,0.00,0.00,0.00,0.00
53,9.00,-6.00,-1.00,-1.00,0.00,0.00
54,-7.00,-1.00,0.00,1.00,0.00,0.00
55,-1.00,-8.00,1.00,0.00,0.00,0.00
56,-5.00,-8.00,1.00,-1.00,0.00,0.00
57,-6.00,7.00,1.00,-1.00,0.00,0.00
58,1.00,5.00,0.00,0.00,0.00,0.00
59,5.00,3.00,1.00,1.00,0.00,0.00
60,1.00,4.00,-1.00,1.00,0.00,0.00
61,0.00,-3.00,-1.00,-1.00,0.00,0.00
62,-1.00,-4.00,1.00,1.00,0.00,0.00
63,-10.00,-9.00,0.00,1.00,0.00,0.00
64,-7.00,4.00,-1.00,1.00,0.00,0.00
65,-7.00,5.00,1.00,0.00,0.00,0.00
66,0.00,3.00,-1.00,0.00,0.00,0.00
67,8.00,2.00,0.00,-1.00,0.00,0.00
68,-3.00,5.00,-1.00,-1.00,0.00,0.00
69,5.00,5.00,-1.00,1.00,0.00,0.00
70,-9.00,-4.00,0.00,-1.00,0.00,0.00
71,-3.00,-3.00,-1.00,0.00,0.00,0.00
72,3.00,-8.00,0.00,0.00,0.00,0.00
73,-4.00,-10.00,1.00,1.00,0.00,0.00
74,3.00,8.00,0.00,1.00,0.00,0.00
75,3.00,7.00,-1.00,1.00,0.00,0.00
76,3.00,3.00,0.00,1.00,0.00,0.00
77,1.00,9.00,1.00,-1.00,0.00,0.00
78,8.00,-10.00,1.00,1.00,0.00,0.00
79,6.00,7.00,-1.00,1.00,0.00,0.00
80,5.00,8.00,0.00,0.00,0.00,0.00
81,9.00,-5.00,1.00,0.00,0.00,0.00
82,6.00,-3.00,0.00,0.00,0.00,0.00
83,-10.00,-10.00,0.00,-1.00,0.00,0.00
84,-1.00,9.00,1.00,1.00,0.00,0.00
85,-6.00,-8.00,0.00,0.00,0.00,0.00
86,-10.00,7.00,0.00,1.00,0.00,0.00
87,2.00,-9.00,1.00,0.00,0.00,0.00
88,2.00,-1.00,0.00,-1.00,0.00,0.00
89,6.00,-5.00,1.00,0.00,0.00,0.00
90,-3.00,-8.00,-1.00,-1.00,0.00,0.00
91,9.00,6.00,0.00,1.00,0.00,0.00
92,0.00,-2.00,1.00,1.00,0.00,0.00
93,-10.00,3.00,0.00,-1.00,0.00,0.00
94,-9.00,6.00,0.00,-1.00,0.00,0.00
95,1.00,-3.00,-1.00,-1.00,0.00,0.00
96,-6.00,2.00,1.00,0.00,0.00,0.00
97,5.00,-2.00,1.00,0.00,0.00,0.00
98,-9.00,-2.00,0.00,1.00,0.00,0.00
99,-1.00,6.00,-1.00,1.00,0.00,0.00
###### Tour 1 ######
0,7.01,-1.99,-2417532.22,2380100.47,-483506643.33,476019893.38
1,2.99,-1.99,-18705.53,18705.73,-3740905.38,3740946.82
2,0.99,6.01,2398572.46,-2361702.61,479714691.45,-472340722.39
3,-7.01,3.01,2417785.53,2342943.64,483557305.61,468588527.56
4,8.01,-8.00,-2436153.76,37068.13,-487230951.34,7413626.57
5,-8.01,6.00,-2361334.88,27.69,-472266776.62,5537.76
6,4.01,0.01,-37404.97,-144.43,-7481194.35,-29086.69
7,6.00,-1.99,-148.00,-2398684.81,-29600.01,-479737161.23
8,-1.99,-9.01,-2380122.33,56112.69,-476024666.96,11222737.45
9,-9.01,1.01,-18329.22,2380097.93,-3665643.21,476019385.29
10,-2.00,1.01,37322.80,31.38,7464560.52,6076.87
11,-6.00,-1.00,-2380064.81,18528.96,-476012961.89,3705792.17
12,-6.99,-7.01,2399201.60,2361706.15,479840119.04,472341430.08
13,1.01,-8.00,-37322.25,314.68,-7464650.80,62936.36
14,-6.00,-6.99,18677.58,-2380007.03,3735516.18,-476001606.81
15,-6.99,0.01,2417729.04,-2417388.95,483545607.56,-483477989.57
16,-5.99,3.00,18676.52,-4779094.78,3735104.16,-955818956.37
17,-6.01,-5.01,314.41,2398917.52,63082.47,479783703.62
18,7.01,3.01,18586.46,-18616.18,3717091.72,-3723435.57
19,5.00,3.99,-37836.37,-2436353.69,-7567274.86,-487270537.94
20,7.00,-7.01,-342.29,144.72,-68458.13,29144.51
21,7.01,-1.00,-18705.44,-2417533.87,-3741287.87,-483506773.62
22,-6.00,-9.00,37350.80,4798398.27,7470159.36,959679654.10
23,-6.01,8.99,56113.80,-56515.47,11222960.21,-11302893.89
24,-6.00,-3.99,18935.08,56230.05,3787015.15,11245809.72
25,2.00,6.00,-4797658.12,2398828.61,-959531624.05,479765721.35
26,-9.01,2.00,-18527.05,-2417504.20,-3705210.79,-483500840.05
27,-3.99,4.00,55967.98,-18826.00,11193396.71,-3765200.06
28,8.01,5.01,-2361595.82,-172.36,-472319363.65,-34672.40
29,7.00,-9.99,-227.82,119.63,-45563.98,23725.68
30,-8.00,-7.99,75069.88,74786.04,15013975.42,14957008.22
31,2.99,1.01,18362.93,-18447.37,3672785.54,-3689674.91
32,-0.01,8.99,30.09,-2399145.06,6217.46,-479828812.52
33,5.00,-6.99,-2417904.12,2380469.02,-483580824.85,476093604.33
34,-3.01,-9.01,2436150.59,2398860.33,487230318.51,479772265.97
35,6.00,6.00,-37493.09,27.55,-7498617.64,5510.66
36,1.99,7.01,2361103.88,-2436145.77,472220975.07,-487229353.21
37,-0.99,4.00,18960.02,-2417703.38,3791804.36,-483540675.61
38,-1.00,-7.00,26.59,-82.42,5318.85,-16484.66
39,5.01,-3.01,2398402.26,4797690.20,479680251.41,959538239.46
40,8.99,-0.01,-18763.87,18418.51,-3752574.34,3683903.00
41,-4.99,7.99,0.89,-2436324.24,-22.61,-487264648.59
42,9.00,3.00,-37781.15,-37436.57,-7556230.02,-7487314.71
43,-1.01,1.99,-18731.59,-18419.62,-3746117.07,-3683723.57
44,-4.99,7.01,-27.78,2361389.72,-5756.35,472277744.82
45,-10.00,8.99,2417506.37,-19020.05,483501273.74,-3803809.65
46,-7.00,-3.00,19103.87,-18245.91,3820774.19,-3649182.41
47,-5.00,-10.01,2380411.74,19103.97,476082348.01,3820994.11
48,3.00,-7.01,-18535.54,-2417529.75,-3707108.65,-483505750.69
49,5.00,0.00,-2417816.47,-18990.98,-483563294.09,-3798196.37
50,-9.00,-8.01,2380613.65,-18616.87,476122729.03,-3723173.17
51,8.99,-2.00,-429.82,225.29,-85763.45,45057.19
52,-2.00,-4.00,2398917.20,30.74,479783440.29,6147.12
53,8.99,-6.01,-18850.65,2417755.56,-3769930.19,483551311.90
54,-7.00,-0.99,2417533.03,2417163.43,483506606.25,483432485.23
55,-0.99,-8.00,-54.52,2399056.14,-11104.64,479811228.15
56,-4.99,-8.01,-2454425.01,18477.12,-490885201.58,3695624.21
57,-5.99,6.99,2436435.47,-2361626.10,487286894.44,-472325019.41
58,1.00,5.00,18505.56,18670.71,3701111.69,3734141.85
59,5.01,3.01,-2436579.37,2361675.71,-487316074.65,472334941.14
60,0.99,4.01,-37551.65,2361418.86,-7510130.26,472283572.35
61,-0.01,-3.01,2380067.84,2380495.95,476013767.16,476099389.84
62,-0.99,-3.99,-2380094.74,18791.69,-476019147.16,3758138.42
63,-10.00,-8.99,56366.35,-2342461.36,11273269.73,-468492471.42
64,-7.01,4.01,37802.57,-2436296.39,7560713.80,-487259478.69
65,-6.99,5.00,-18298.21,-2380752.43,-3659842.18,-476150486.09
66,-0.01,3.00,-18647.95,-18622.02,-3729389.76,-3724403.76
67,8.00,1.99,-18678.69,18276.34,-3735737.69,3655468.27
68,-3.01,4.99,2380356.38,-18679.14,476071475.56,-3735628.12
69,4.99,5.01,18270.27,-2380727.83,3654254.39,-476145766.66
70,-9.00,-4.01,119.92,37694.33,23984.02,7539066.13
71,-3.01,-3.00,18735.96,-18646.22,3747391.64,-3729244.60
72,3.00,-8.00,-2417928.03,4778985.82,-483585605.60,955797163.89
73,-3.99,-9.99,19017.44,18884.84,3803288.65,3776767.77
74,3.00,8.01,-18512.38,-2417623.14,-3702475.36,-483524827.49
75,2.99,7.01,-2436267.42,2361391.85,-487253284.67,472278169.06
76,3.00,3.01,-18596.66,-2417841.95,-3719332.06,-483568589.21
77,1.01,8.99,-4816469.43,-19192.81,-963294085.32,-3838362.76
78,8.01,-9.99,-2417787.24,19301.61,-483557647.19,3860121.84
79,5.99,7.01,-2436523.53,-2361820.67,-487304506.98,-472364333.02
80,5.00,8.00,-398.95,-2436324.29,-79789.14,-487264857.49
81,9.01,-5.00,-18678.55,18675.68,-3735909.52,3735136.58
82,6.00,-3.00,-2436185.22,2473247.68,-487237044.67,494649536.82
83,-10.00,-10.01,18820.78,2417678.13,3764156.40,483535826.01
84,-0.99,9.01,2417788.21,-18737.08,483557442.84,-3747616.53
85,-6.00,-8.00,2398549.56,2473559.17,479709912.44,494711833.65
86,-10.00,7.01,56482.55,-55798.04,11296509.26,-11159807.84
87,2.01,-9.00,-37636.81,74790.18,-7527561.63,14958036.94
88,2.00,-1.01,-30.03,-37295.18,-6005.93,-7458836.25
89,6.01,-5.00,-399.57,2399397.90,-80114.08,479879579.38
90,-3.01,-8.01,2417560.55,-2417473.00,483512310.18,-483494400.00
91,9.00,6.01,-18733.97,-2417787.16,-3746794.97,-483557631.63
92,0.01,-1.99,18703.63,18645.30,3740526.78,3728859.49
93,-10.00,2.99,74819.44,-37665.32,14963888.12,-7532864.57
94,-9.00,5.99,4797718.72,37349.30,959543743.87,7470060.70
95,0.99,-3.01,-2417449.40,19160.76,-483489679.18,3832352.62
96,-5.99,2.00,32.30,37291.74,6260.87,7458348.59
97,5.01,-2.00,2380008.89,-2379811.57,476001577.93,-475962313.01
98,-9.00,-1.99,400.99,37070.27,80197.44,7413853.64
99,-1.01,6.01,285.88,-341.62,57375.25,-68523.45
###### Tour 2 ######
0,-3.64,0.01,-7000777.49,5375563.95,-433142412.25,123072802.97
